Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My Worklist,Chrome 100.0.4896.75,,,2022-04-22 11:26:32,2022-04-22 11:27:09,"37,023s",PASSED
,,,,,,,
Test Cases/Filter My Worklist,Chrome 100.0.4896.75,,,2022-04-22 11:26:32,2022-04-22 11:27:09,"36,537s",PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-22 11:26:33,2022-04-22 11:26:35,"2,386s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-04-22 11:26:35,2022-04-22 11:26:38,"2,849s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 100.0.4896.75,,,2022-04-22 11:26:38,2022-04-22 11:26:39,"0,910s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 100.0.4896.75,,,2022-04-22 11:26:39,2022-04-22 11:26:40,"0,911s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Login""))",Chrome 100.0.4896.75,,,2022-04-22 11:26:40,2022-04-22 11:26:40,"0,460s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/Page_Debt IMS/strong_My Tools""))",Chrome 100.0.4896.75,,,2022-04-22 11:26:40,2022-04-22 11:26:41,"0,635s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/Page_Debt IMS/span_My Worklist""))",Chrome 100.0.4896.75,,,2022-04-22 11:26:41,2022-04-22 11:26:41,"0,612s",PASSED
delay(5),Chrome 100.0.4896.75,,,2022-04-22 11:26:41,2022-04-22 11:26:46,"5,053s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/input_From""))",Chrome 100.0.4896.75,,,2022-04-22 11:26:46,2022-04-22 11:26:47,"0,430s",PASSED
"click(findTestObject(""Object Repository/Myworklist(lead status)/Page_Debt IMS/span_1""))",Chrome 100.0.4896.75,,,2022-04-22 11:26:47,2022-04-22 11:26:47,"0,428s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/input_To_form""))",Chrome 100.0.4896.75,,,2022-04-22 11:26:47,2022-04-22 11:26:48,"0,534s",PASSED
"click(findTestObject(""Object Repository/Myworklist(lead status)/Page_Debt IMS/span_30""))",Chrome 100.0.4896.75,,,2022-04-22 11:26:48,2022-04-22 11:26:48,"0,423s",PASSED
