Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My Worklist,Chrome 102.0.5005.115,,,2022-08-03 11:44:01,2022-08-03 11:44:52,"50,513s",FAILED
,,,,,,,
Test Cases/Filter My Worklist,Chrome 102.0.5005.115,,,2022-08-03 11:44:02,2022-08-03 11:44:52,"49,906s",FAILED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-08-03 11:44:02,2022-08-03 11:44:04,"1,791s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 102.0.5005.115,,,2022-08-03 11:44:04,2022-08-03 11:44:44,"39,627s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 102.0.5005.115,,,2022-08-03 11:44:44,2022-08-03 11:44:44,"0,857s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 102.0.5005.115,,,2022-08-03 11:44:44,2022-08-03 11:44:45,"0,767s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Login""))",Chrome 102.0.5005.115,,,2022-08-03 11:44:45,2022-08-03 11:44:48,"2,855s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/strong_My Tools""))",Chrome 102.0.5005.115,,,2022-08-03 11:44:48,2022-08-03 11:44:49,"0,758s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/span_My Worklist""))",Chrome 102.0.5005.115,,,2022-08-03 11:44:49,2022-08-03 11:44:49,"0,626s",PASSED
"click(findTestObject(""Object Repository/Myworklist(lead status)/search ojito add note/Page_Debt IMS/input_From""))",Chrome 102.0.5005.115,,,2022-08-03 11:44:49,2022-08-03 11:44:50,"0,809s",PASSED
"click(findTestObject(""Object Repository/debt ims R/Page_Debt IMS/span_1""))",Chrome 102.0.5005.115,,,2022-08-03 11:44:50,2022-08-03 11:44:51,"0,410s",PASSED
"click(findTestObject(""Object Repository/Myworklist(lead status)/search ojito add note/Page_Debt IMS/input_To_form""))",Chrome 102.0.5005.115,,,2022-08-03 11:44:51,2022-08-03 11:44:51,"0,638s",PASSED
"click(findTestObject(""3""), STOP_ON_FAILURE)",Chrome 102.0.5005.115,,,2022-08-03 11:44:51,2022-08-03 11:44:52,"0,205s",FAILED
