Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Competitors,Chrome 100.0.4896.75,,,2022-05-12 10:35:43,2022-05-12 10:36:47,"1m - 4,073s",FAILED
,,,,,,,
Test Cases/Edit Competitor,Chrome 100.0.4896.75,,,2022-05-12 10:35:43,2022-05-12 10:36:43,"1m - 0,323s",FAILED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-05-12 10:35:44,2022-05-12 10:35:46,"1,976s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-05-12 10:35:46,2022-05-12 10:36:30,"44,302s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/Page_Debt IMS/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 100.0.4896.75,,,2022-05-12 10:36:30,2022-05-12 10:36:43,"13,462s",FAILED
,,,,,,,
Test Cases/Delete Competitor,Chrome 100.0.4896.75,,,2022-05-12 10:36:43,2022-05-12 10:36:47,"3,098s",FAILED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-05-12 10:36:44,2022-05-12 10:36:45,"1,125s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-05-12 10:36:45,2022-05-12 10:36:47,"1,567s",FAILED
