Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My Worklist,Chrome 100.0.4896.75,,,2022-04-22 10:25:36,2022-04-22 10:25:51,"15,665s",FAILED
,,,,,,,
Test Cases/Filter My Worklist,Chrome 100.0.4896.75,,,2022-04-22 10:25:37,2022-04-22 10:25:51,"14,848s",FAILED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-22 10:25:37,2022-04-22 10:25:39,"2,249s",PASSED
"navigateToUrl(""http://35.237.24.127:8081/dims-app/#/home"")",Chrome 100.0.4896.75,,,2022-04-22 10:25:39,2022-04-22 10:25:44,"4,314s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Username_form-control w-75 ng-untouch_2a886e""), username)",Chrome 100.0.4896.75,,,2022-04-22 10:25:44,2022-04-22 10:25:44,"0,833s",PASSED
"setText(findTestObject(""Object Repository/Create Lead/input_Password_form-control w-75 ng-untouch_173c6b""), pass)",Chrome 100.0.4896.75,,,2022-04-22 10:25:44,2022-04-22 10:25:45,"0,763s",PASSED
"click(findTestObject(""Object Repository/Create Lead/button_Login""))",Chrome 100.0.4896.75,,,2022-04-22 10:25:45,2022-04-22 10:25:48,"2,597s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/Page_Debt IMS/strong_My Tools""))",Chrome 100.0.4896.75,,,2022-04-22 10:25:48,2022-04-22 10:25:49,"0,669s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/Page_Debt IMS/span_My Worklist""))",Chrome 100.0.4896.75,,,2022-04-22 10:25:49,2022-04-22 10:25:49,"0,616s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/input_From""))",Chrome 100.0.4896.75,,,2022-04-22 10:25:49,2022-04-22 10:25:50,"0,746s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/Page_Debt IMS/span_1""))",Chrome 100.0.4896.75,,,2022-04-22 10:25:50,2022-04-22 10:25:50,"0,505s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/input_To_form""))",Chrome 100.0.4896.75,,,2022-04-22 10:25:50,2022-04-22 10:25:51,"0,412s",PASSED
"click(findTestObject(""Myworklist(lead status)/Page_Debt IMS/Page_Debt IMS/span_30""))",Chrome 100.0.4896.75,,,2022-04-22 10:25:51,2022-04-22 10:25:51,"0,565s",FAILED
